,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
30000,3447978,Córrego Sardinha,Corrego Sardinha,-21.88333,-54.83333,H,STM,BR,,11.0,,,,0,,335,America/Campo_Grande,2012-01-19,Corrego Sardinha,Córrego Sardinha,Ribeirao Sardinha,Ribeirão Sardinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30001,3447979,Sardinha,Sardinha,-21.9,-56.88333,P,PPL,BR,,11.0,5002803.0,,,0,,402,America/Campo_Grande,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30002,3447980,Ilha de Saravatá,Ilha de Saravata,-22.79937,-43.28321,T,ISL,BR,,21.0,,,,0,,4,America/Sao_Paulo,2007-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30003,3447981,Sarauna,Sarauna,-13.83333,-40.8,P,PPL,BR,,5.0,2902807.0,,,0,,255,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30004,3447982,Sará-Sará,Sara-Sara,-23.66667,-47.08333,P,PPL,BR,,27.0,3513009.0,,,0,,865,America/Sao_Paulo,2013-03-05,Sara-Sara,Sará-Sará,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30005,3447983,Sararé de Baixo,Sarare de Baixo,-16.73333,-57.13333,P,PPL,BR,,14.0,5106505.0,,,0,,109,America/Cuiaba,2012-08-03,Sarare,Sarare de Baixo,Sararé,Sararé de Baixo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30006,3447984,Rio Sararé,Rio Sarare,-16.81667,-57.4,H,STM,BR,,14.0,,,,0,,102,America/Cuiaba,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30007,3447985,Rio Sararé,Rio Sarare,-14.86667,-59.98056,H,STM,BR,,14.0,,,,0,,201,America/Cuiaba,2021-08-25,Rio Sarare,Rio Sararé,Sarare River,Sararé River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30008,3447986,Ribeirão Sararé,Ribeirao Sarare,-10.6,-58.1,H,STM,BR,,14.0,,,,0,,348,America/Cuiaba,2020-06-11,Ribeirao Sarare,Ribeirão Sararé,Rio Sarare,Rio Sararé,Rio Xacuriuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30009,3447987,Rio Sarapuí,Rio Sarapui,-23.39764,-47.75,H,STM,BR,,27.0,,,,0,,534,America/Sao_Paulo,2021-08-09,Rio Sarapuhy,Rio Sarapui,Rio Sarapuí,Sarapui River,Sarapuí River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,3447988,Ribeirão Sarapuí,Ribeirao Sarapui,-13.46667,-39.11667,H,STM,BR,,5.0,,,,0,,29,America/Bahia,2012-01-19,Riacho Sarapui,Riacho Sarapuí,Ribeirao Sarapui,Ribeirão Sarapuí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30011,3447989,Sarapuí,Sarapui,-23.64056,-47.82472,P,PPL,BR,,27.0,3551108.0,,,0,,590,America/Sao_Paulo,2012-08-03,Sarapuhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30012,3447990,Ilha da Sarangonha,Ilha da Sarangonha,-31.8,-52.11667,T,ISL,BR,,23.0,,,,0,,-9999,America/Sao_Paulo,2012-01-19,Ilha da Saragonha,Ilha da Sarangonha,Ilha da Sarangonta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30013,3447991,Sarandira,Sarandira,-21.83111,-43.18806,P,PPLL,BR,,15.0,3136702.0,,,0,,771,America/Sao_Paulo,2012-08-03,Sarandi,Sarandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30014,3447992,Rio Sarandi,Rio Sarandi,-25.58333,-53.5,H,STM,BR,,18.0,,,,0,,270,America/Sao_Paulo,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
