geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername120,othername130,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55
3375720,Tawaribar Rapids,Tawaribar Rapids,Tawaribar Rapids$Tawiribar$Tawiribar Fall$Tawiribar Rapids,266.667,-5.996.667,H,RPDS,BR,GY,0,,,,0,,103,America/Guyana,07/03/2014,Tawaribar Rapids,Tawiribar,Tawiribar Fall,Tawiribar Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377287,Machpawa Falls,Machpawa Falls,Maca-pawa$Machpawa Fall$Machpawa Falls$Mais Pau,2.9,-59.95,H,FLLS,BR,GY,0,,,,0,,103,America/Guyana,07/03/2014,Maca-pawa,Machpawa Fall,Machpawa Falls,Mais Pau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377723,Kulutuik Fall,Kulutuik Fall,Kulutuik Fall$Kurutuik Fall,508.333,-5.996.667,H,FLLS,BR,GY,0,,,,0,,686,America/Guyana,07/03/2014,Kulutuik Fall,Kurutuik Fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377733,Kukuipawa Falls,Kukuipawa Falls,Kukui-pau$Kukui-pawa$Kukuipaw Falls$Kukuipawa Falls$Kukuipow Falls,282.548,-5.995.024,H,FLLS,BR,GY,0,,,,0,,103,America/Guyana,07/03/2014,Kukui-pau,Kukui-pawa,Kukuipaw Falls,Kukuipawa Falls,Kukuipow Falls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377883,Kenukawai Mountain,Kenukawai Mountain,Kenukawai$Kenukawai Mountain$Mount Kenukawai,146.667,-5.843.333,T,MT,BR,GY,0,,,,0,,557,America/Guyana,07/03/2014,Kenukawai,Kenukawai Mountain,Mount Kenukawai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377910,Kassuwau Fall,Kassuwau Fall,,198.333,-5.973.333,H,FLLS,BR,GY,0,,,,0,,211,America/Guyana,07/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377932,Kariwapawa Fall,Kariwapawa Fall,,298.333,-59.95,H,FLLS,BR,GY,0,,,,0,,93,America/Guyana,07/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377964,Karaparu Rapid,Karaparu Rapid,Karaparu Rapid$Karaparu Rapids,4.4,-5.968.333,H,RPDS,BR,GY,0,,,,0,,418,America/Guyana,07/03/2014,Karaparu Rapid,Karaparu Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3378003,Kanawa Rapid,Kanawa Rapid,Kanawa$Kanawa Rapid$Kanawa Rapids,441.667,-59.7,H,RPDS,BR,GY,0,,,,0,,417,America/Guyana,07/03/2014,Kanawa,Kanawa Rapid,Kanawa Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380043,Cachoeira Acaraiou,Cachoeira Acaraiou,Cachoeira Acaraiou$Saut Cuacarayau$Saut Cuaracayau$Saut Ouacarayau$Saut Ouacarayou$Sauts Wakarayou,323.079,-5.228.321,H,FLLS,BR,,0,,,,0,,57,America/Cayenne,03/07/2015,Cachoeira Acaraiou,Saut Cuacarayau,Saut Cuaracayau,Saut Ouacarayau,Saut Ouacarayou,Sauts Wakarayou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380047,Cachoeira Ouaouarou,Cachoeira Ouaouarou,Cachoeira Ouaouarou$Cachoeira Quaouaru$Saut Ouayeouarou$Sauts Waiwarou$Sauts Waïwarou,333.922,-5.217.164,H,FLLS,BR,,0,,,,0,,51,America/Cayenne,03/07/2015,Cachoeira Ouaouarou,Cachoeira Quaouaru,Saut Ouayeouarou,Sauts Waiwarou,Sauts Waïwarou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380122,Os Treis Saltos,Os Treis Saltos,Les Trois Sauts$Os Treis Saltos$Trois Sauts,224.422,-5.287.317,H,FLLS,BR,,0,,,,0,,138,America/Belem,03/07/2015,Les Trois Sauts,Os Treis Saltos,Trois Sauts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380172,Îlets Toïlopiké,Ilets Toilopike,Ilet Toilopique$Ilet Toïlopiqué$Ilets Tailopique$Ilets Toilopike$Ilets Toilopique$Îlets Taïlopiqué$Îlets Toïlopiké$Îlets Toïlopiqué,338.091,-5.214.649,T,ISLS,BR,GF,0,,,,0,,49,America/Belem,03/07/2015,Ilet Toilopique,Ilet Toïlopiqué,Ilets Tailopique,Ilets Toilopike,Ilets Toilopique,Îlets Taïlopiqué,Îlets Toïlopiké,Îlets Toïlopiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380227,Tamoussiyapa Itou,Tamoussiyapa Itou,Cachoeira Samaciapa$Cachoeira Samaciapá$Saut Komanciapa$Saut Tamasiapa$Tamoussiyapa Itou,292.477,-5.239.391,H,FLLS,BR,,0,,,,0,,83,America/Belem,03/07/2015,Cachoeira Samaciapa,Cachoeira Samaciapá,Saut Komanciapa,Saut Tamasiapa,Tamoussiyapa Itou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380231,Tamanwayapa Itou,Tamanwayapa Itou,Saut Tamanouayapa$Saut Yaouapa$Saut Yawapa$Tamanwayapa Itou,229.216,-5.282.745,H,FLLS,BR,GF,0,,,,0,,130,America/Belem,03/07/2015,Saut Tamanouayapa,Saut Yaouapa,Saut Yawapa,Tamanwayapa Itou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380237,Taléouwayatou Itou,Taleouwayatou Itou,Rapide Tale Ito Ayatou$Rapide Talé Ito Ayatou$Taleouwayatou Itou$Taléouwayatou Itou$Tare eu Wai-atou$Taré eu Waï-atou,285.831,-524.387,H,RPDS,BR,GF,0,,,,0,,79,America/Belem,03/07/2015,Rapide Tale Ito Ayatou,Rapide Talé Ito Ayatou,Taleouwayatou Itou,Taléouwayatou Itou,Tare eu Wai-atou,Taré eu Waï-atou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380354,Cachoeira Trasapa,Cachoeira Trasapa,Cachoeira Irasapa$Cachoeira Trasapa$Itou Sanseng$Sansen Itou$Saut Eutou Sansen$Saut Itou Sansen$Saut Itoussansein$Saut Toussassagne,218.896,-5.292.595,H,FLLS,BR,,0,,,,0,,156,America/Belem,03/07/2015,Cachoeira Irasapa,Cachoeira Trasapa,Itou Sanseng,Sansen Itou,Saut Eutou Sansen,Saut Itou Sansen,Saut Itoussansein,Saut Toussassagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380374,Pointe Saint-Paul,Pointe Saint-Paul,Pointe Saint-Paul,351.896,-5.205.956,H,STMB,BR,GF,0,,,,0,,61,America/Cayenne,03/07/2015,Pointe Saint-Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380410,Pointe Sainte-Marie,Pointe Sainte-Marie,Pointe Sainte-Marie,311.917,-5.233.814,H,STMB,BR,GF,0,,,,0,,70,America/Cayenne,03/07/2015,Pointe Sainte-Marie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380625,Saut Petit Massala,Saut Petit Massala,Cachoeira Piararusa$Cachoeira Piararusá$Saut Petit Masara$Saut Petit Massala$Saut Petit Massera$Saut Petit Masséra,265.268,-5.254.268,H,FLLS,BR,,0,,,,0,,115,America/Cayenne,03/07/2015,Cachoeira Piararusa,Cachoeira Piararusá,Saut Petit Masara,Saut Petit Massala,Saut Petit Massera,Saut Petit Masséra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380637,Saut Petit Koumouri,Saut Petit Koumouri,,2.6,-5.253.333,H,RPDS,BR,GF,0,,,,0,,114,America/Cayenne,07/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380732,Parcours Noir,Parcours Noir,,341.667,-5.213.333,H,RCH,BR,GF,0,,,,0,,92,America/Cayenne,07/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380747,Panakoupelou Itou,Panakoupelou Itou,Panakoupelou Itou,264.422,-5.255.186,H,RPDS,BR,GF,0,,,,0,,88,America/Belem,03/07/2015,Panakoupelou Itou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380756,Palanga Itou,Palanga Itou,Cachoeira Paranga$Cachoeira Parangá$Palanga Itou$Saut Pananga$Saut Sinacouparangaoue$Saut Sinacouparangaoué,241.676,-5.264.509,H,FLLS,BR,,0,,,,0,,128,America/Belem,03/07/2015,Cachoeira Paranga,Cachoeira Parangá,Palanga Itou,Saut Pananga,Saut Sinacouparangaoue,Saut Sinacouparangaoué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380757,Pakwétan Itou,Pakwetan Itou,Pakwetan Itou$Pakwétan Itou$Saut Pakouetam$Saut Pakouétam,233.535,-5.273.926,H,RPDS,BR,GF,0,,,,0,,135,America/Santarem,03/07/2015,Pakwetan Itou,Pakwétan Itou,Saut Pakouetam,Saut Pakouétam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380759,Pakoussili Itou,Pakoussili Itou,Pakoussili Itou$Saut Pacouciri$Saut Pakousiri$Saut Pakoussili,226.151,-5.285.794,H,FLLS,BR,GF,0,,,,0,,131,America/Santarem,03/07/2015,Pakoussili Itou,Saut Pacouciri,Saut Pakousiri,Saut Pakoussili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
