geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername120,othername130,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66,othername67,othername68,othername69,othername71,othername72,othername73,othername74,othername75,othername76,othername77,othername78,othername79,othername80
3399860,Fazenda Santo Isídio,Fazenda Santo Isidio,,-311.667,-40.25,P,PPL,BR,,6,2302305.0,,,0,,71,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399861,Fazenda Santo Expedito,Fazenda Santo Expedito,,-511.667,-4.143.333,P,PPL,BR,,20,2202026.0,,,0,,262,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399862,Fazenda Santo Antônio,Fazenda Santo Antonio,,-478.333,-3.931.667,P,PPL,BR,,6,2303931.0,,,0,,512,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399863,Fazenda Santo Antonio,Fazenda Santo Antonio,,-391.667,-3.938.333,P,PPL,BR,,6,2300903.0,,,0,,92,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399864,Fazenda Santo Antõnio,Fazenda Santo Antonio,,-2.95,-4.011.667,P,PPL,BR,,6,2300200.0,,,0,,29,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399865,Fazenda Santa Victória,Fazenda Santa Victoria,,-5.15,-42.3,P,PPL,BR,,20,2202737.0,,,0,,186,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399866,Fazenda Santa Tereza,Fazenda Santa Tereza,,-716.667,-4.206.667,P,PPL,BR,,20,2207009.0,,,0,,225,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399867,Fazenda Santa Teresa,Fazenda Santa Teresa,,-4.45,-3.988.333,P,PPL,BR,,6,2312205.0,,,0,,291,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399868,Fazenda Santa Teresa,Fazenda Santa Teresa,,-4.15,-39.1,P,PPL,BR,,6,2303006.0,,,0,,153,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399869,Fazenda Santa Rosa,Fazenda Santa Rosa,,-7.05,-41.25,P,PPL,BR,,20,2209401.0,,,0,,355,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
