geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66,othername67,othername68,othername69,othername70,othername71,othername72,othername73,othername74,othername75,othername76,othername77,othername78,othername79,othername80,othername81,othername82,othername83,othername84,othername85,othername86,othername87,othername88,othername89,othername90,othername91,othername92,othername93,othername94,othername95,othername96,othername97,othername98
3448614,Arroio São Lourenço,Arroio Sao Lourenco,,-28.9,-53.55,H,STM,BR,,23,,,,0,,342,America/Sao_Paulo,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448615,São Lourenço,Sao Lourenco,,-2.473.333,-4.983.333,P,PPL,BR,,18,4104907.0,,,0,,987,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448616,São Lourenço,Sao Lourenco,SSO$San-Lorensu$Sao Lourenco$São Lourenço$???-???????,-2.211.639,-4.505.444,P,PPL,BR,,15,3163706.0,,,41143,,884,America/Sao_Paulo,22/10/2013,SSO,San-Lorensu,Sao Lourenco,São Lourenço,???-???????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448617,São Lourenço,Sao Lourenco,Sao Lourenco$São Lourenço,-2.071.667,-41.55,P,PPL,BR,,8,3200201.0,,,0,,547,America/Sao_Paulo,05/12/2012,Sao Lourenco,São Lourenço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448618,São Lourenço,Sao Lourenco,Sao Lourenco$São Lourenço,-2.031.667,-45.7,P,PPL,BR,,15,3146503.0,,,0,,769,America/Sao_Paulo,05/03/2013,Sao Lourenco,São Lourenço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448619,São Lourenço,Sao Lourenco,Sao Lourenco$São Lourenço,-1.653.333,-5.503.333,P,PPL,BR,,14,5107800.0,,,0,,204,America/Cuiaba,09/02/2013,Sao Lourenco,São Lourenço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448620,São Lourenço,Sao Lourenco,,-13.25,-4.426.667,P,PPL,BR,,5,2928109.0,,,0,,650,America/Bahia,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448621,São Lourenço,Sao Lourenco,,-1.258.333,-3.868.333,P,PPL,BR,,5,2929206.0,,,0,,23,America/Bahia,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448622,São Leopoldo,Sao Leopoldo,San-Leopoldu$Sao Leopoldo$São Leopoldo$sa'o le'opolado$sangle-opoldu$sheng li ao bo er du$???-????????$??? ????????$??? ????????$????????$??????$?????,-2.976.028,-5.114.722,P,PPL,BR,,23,4318705.0,,,209229,,10,America/Sao_Paulo,03/08/2012,San-Leopoldu,Sao Leopoldo,São Leopoldo,sa'o le'opolado,sangle-opoldu,sheng li ao bo er du,???-????????,??? ????????,??? ????????,????????,??????,?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448623,São Leocádia,Sao Leocadia,,-2.606.667,-5.058.333,P,PPL,BR,,18,4125605.0,,,0,,757,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448624,Rio São Lamberto,Rio Sao Lamberto,Rio Sao Lamberto$Rio São Lamberto,-17.25,-4.436.667,H,STM,BR,,15,,,,0,,685,America/Sao_Paulo,09/02/2013,Rio Sao Lamberto,Rio São Lamberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448625,Córrego São Lamberto,Corrego Sao Lamberto,Corrego Sao Lamberto$Córrego São Lamberto$Ribeirao Sao Lamberto$Ribeirão São Lamberto,-1.693.333,-44.15,H,STM,BR,BR,15,,,,0,,854,America/Bahia,19/01/2012,Corrego Sao Lamberto,Córrego São Lamberto,Ribeirao Sao Lamberto,Ribeirão São Lamberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448626,Córrego São Julião,Corrego Sao Juliao,Corrego Sao Juliao$Córrego São Julião,-1.758.333,-41.05,H,STM,BR,,15,,,,0,,287,America/Bahia,05/12/2012,Corrego Sao Juliao,Córrego São Julião,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448627,São José Taquaruçu,Sao Jose Taquarucu,Sao Jose Taquarucu$São José Taquaruçu$Taquarucu$Taquaruçu,-2.071.667,-5.651.667,P,PPL,BR,BR,11,5002209.0,,,0,,184,America/Campo_Grande,03/08/2012,Sao Jose Taquarucu,São José Taquaruçu,Taquarucu,Taquaruçu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448628,Ribeirão São José Grande,Ribeirao Sao Jose Grande,Ribeirao Sao Jose Grande$Ribeirão São José Grande$Rio Sao Jose$Rio São José,-11.85,-4.863.333,H,STM,BR,BR,31,,,,0,,232,America/Araguaina,19/01/2012,Ribeirao Sao Jose Grande,Ribeirão São José Grande,Rio Sao Jose,Rio São José,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448629,São José do Turvo,Sao Jose do Turvo,Turvo,-2.236.306,-4.401.417,P,PPLL,BR,BR,21,3300308.0,,,0,,493,America/Sao_Paulo,03/08/2012,Turvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448630,São José do Triunfo,Sao Jose do Triunfo,,-2.074.806,-4.282.528,P,PPLL,BR,,15,3171303.0,,,0,,671,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448631,São José dos Salgados,Sao Jose dos Salgados,,-2.008.778,-4.478.194,P,PPLL,BR,,15,3114204.0,,,0,,771,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448632,São José dos Pinhais,Sao Jose dos Pinhais,San-Zhoze-dus-Pin'jajs$Sao Jose dos Pinhaes$Sao Jose dos Pinhais$Sao Zhose dos Pinajs$São José dos Pinhaes$São José dos Pinhais$sa'o jose dosa pinaha'isa$saw khwzh dws pynhays$sheng ruo ze du si pi ni ai si$???-????-???-???????$???-????-???-???????$??? ???? ??? ??????$??? ???? ??? ???????$??? ???? ??? ???????$??? ???? ??? ???????$?????????,-255.302,-4.920.836,P,PPL,BR,,18,4125506.0,,,124224,,882,America/Sao_Paulo,17/08/2014,San-Zhoze-dus-Pin'jajs,Sao Jose dos Pinhaes,Sao Jose dos Pinhais,Sao Zhose dos Pinajs,São José dos Pinhaes,São José dos Pinhais,sa'o jose dosa pinaha'isa,saw khwzh dws pynhays,sheng ruo ze du si pi ni ai si,???-????-???-???????,???-????-???-???????,??? ???? ??? ??????,??? ???? ??? ???????,??? ???? ??? ???????,??? ???? ??? ???????,?????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448633,Ribeirão São José dos Oratórios,Ribeirao Sao Jose dos Oratorios,Ribeirao Sao Jose dos Oratorios$Ribeirão São José dos Oratórios$Rio Sao Jose do Oratorio$Rio São José do Oratório,-20.35,-4.288.333,H,STM,BR,BR,15,,,,0,,426,America/Sao_Paulo,19/01/2012,Ribeirao Sao Jose dos Oratorios,Ribeirão São José dos Oratórios,Rio Sao Jose do Oratorio,Rio São José do Oratório,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448634,São José dos Lopes,Sao Jose dos Lopes,,-2.179.167,-4.388.806,P,PPLL,BR,,15,3138609.0,,,0,,782,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448635,Rio São José dos Dourados,Rio Sao Jose dos Dourados,Rio Sao Jose dos Dourados$Rio São José dos Dourados$Sao Jose dos Dourados River$São José dos Dourados River,-2.036.667,-51.35,H,STM,BR,,27,,,,0,,323,America/Campo_Grande,09/08/2021,Rio Sao Jose dos Dourados,Rio São José dos Dourados,Sao Jose dos Dourados River,São José dos Dourados River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448636,São José dos Campos,Sao Jose dos Campos,SJC$SJCampos$SJK$San Zoze dos Kamposas$San Žoz? dos Kamposas$San-Zhoze-dus-Kampus$Sao Jose dos Campos$Sao Zhose dos Kampos$Sao Zhoze dos Kampos$Sao jose dos Campos$São José dos Campos$São josé dos Campos$Vale Paraiba$Vale do Paraiba$Vale do Paraíba$sa'o jose dosa kamposa$sangjojeduseukampuseu$sayw khwzh dws kamps$sheng ruo ze duo si kan bo si$???-????-???-??????$??? ???? ??? ??????$??? ???? ??? ??????$???? ???? ??? ?????$??? ???? ??? ???????$??????????????$????????$????????,-2.317.944,-4.588.694,P,PPLA2,BR,,27,3549904.0,,,613764,600.0,596,America/Sao_Paulo,19/01/2017,SJC,SJCampos,SJK,San Zoze dos Kamposas,San Žoz? dos Kamposas,San-Zhoze-dus-Kampus,Sao Jose dos Campos,Sao Zhose dos Kampos,Sao Zhoze dos Kampos,Sao jose dos Campos,São José dos Campos,São josé dos Campos,Vale Paraiba,Vale do Paraiba,Vale do Paraíba,sa'o jose dosa kamposa,sangjojeduseukampuseu,sayw khwzh dws kamps,sheng ruo ze duo si kan bo si,???-????-???-??????,??? ???? ??? ??????,??? ???? ??? ??????,???? ???? ??? ?????,??? ???? ??? ???????,??????????????,????????,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
