,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52
0,3479539,Capela de Nossa Senhora da Conceição,Capela de Nossa Senhora da Conceicao,-2.547.917,-4.848.778,S,CH,BR,,18,4118204.0,,,0,,10,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3479540,Sítio Luiz A. Dantas,Sitio Luiz A. Dantas,-2.578.944,-4.970.556,P,PPL,BR,,18,4113205.0,,,0,,875,America/Sao_Paulo,03/08/2012,Sitio Luiz A. Dantas,Sítio Luiz A. Dantas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3479541,Sítio Francisco Lipski,Sitio Francisco Lipski,-2.577.889,-4.973.528,P,PPL,BR,,18,4113205.0,,,0,,939,America/Sao_Paulo,03/08/2012,Sitio Francisco Lipski,Sítio Francisco Lipski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3479542,Sítio Adalberto Gluck,Sitio Adalberto Gluck,-2.575.972,-4.973.917,P,PPL,BR,,18,4113205.0,,,0,,939,America/Sao_Paulo,03/08/2012,Sitio Adalberto Gluck,Sítio Adalberto Gluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3479543,Sítio Floriano Hoffmann,Sitio Floriano Hoffmann,-2.575.889,-4.969.583,P,PPL,BR,,18,4113205.0,,,0,,922,America/Sao_Paulo,03/08/2012,Sitio Floriano Hoffmann,Sítio Floriano Hoffmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3479544,Escola Pedro F. Cavalin,Escola Pedro F. Cavalin,-25.755,-4.971.278,S,SCH,BR,,18,4113205.0,,,0,,901,America/Sao_Paulo,03/08/2012,Escola Pedro F. Cavalin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3479545,Sítio João Souza,Sitio Joao Souza,-2.578.472,-4.972.278,P,PPL,BR,,18,4113205.0,,,0,,884,America/Sao_Paulo,03/08/2012,Sitio Joao Souza,Sítio João Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3479546,Chácara Concórdia,Chacara Concordia,-2.575.389,-4.973.833,S,FRM,BR,,18,4113205.0,,,0,,931,America/Sao_Paulo,03/08/2012,Chacara Concordia,Chácara Concórdia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3479547,Capela de Nossa Senhora Aparecida,Capela de Nossa Senhora Aparecida,-2.575.444,-497.125,S,CH,BR,,18,4113205.0,,,0,,908,America/Sao_Paulo,03/08/2012,Capela de Nossa Senhora Aparecida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3479548,Sítio Genoveva Mazur,Sitio Genoveva Mazur,-2.578.639,-4.972.361,P,PPL,BR,,18,4113205.0,,,0,,868,America/Sao_Paulo,03/08/2012,Sitio Genoveva Mazur,Sítio Genoveva Mazur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
