,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66,othername67,othername68,othername69,othername70,othername71,othername72,othername73
0,6322710,Cambé,Cambe,-2.318.029,-5.129.498,A,ADM2,BR,,18,4103701.0,,,96735,,536,America/Sao_Paulo,28/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6322711,Cambira,Cambira,-2.363.164,-5.156.671,A,ADM2,BR,,18,4103800.0,,,7236,,631,America/Sao_Paulo,28/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6322712,Campina da Lagoa,Campina Da Lagoa,-2.460.154,-5.278.545,A,ADM2,BR,,18,4103909.0,,,15393,,580,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6322713,Campina do Simão,Campina Do Simao,-2.508.478,-5.178.423,A,ADM2,BR,,18,4103958.0,,,4076,,1029,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6322714,Campina Grande do Sul,Campina Grande do Sul,-2.518.427,-4.887.208,A,ADM2,BR,,18,4104006.0,,,38756,,824,America/Sao_Paulo,23/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6322715,Campo Bonito,Campo Bonito,-2.488.808,-5.301.009,A,ADM2,BR,,18,4104055.0,,,4407,,578,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6322716,Campo do Tenente,Campo Do Tenente,-2.595.791,-4.965.936,A,ADM2,BR,,18,4104105.0,,,7125,,823,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6322717,Campo Largo,Campo Largo,-2.528.411,-4.959.612,A,ADM2,BR,,18,4104204.0,,,112486,,710,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6322718,Campo Magro,Campo Magro,-2.526.822,-494.758,A,ADM2,BR,,18,4104253.0,,,24836,,808,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6322719,Campo Mourão,Campo Mourao,-2.411.906,-5.239.187,A,ADM2,BR,,18,4104303.0,,,87287,,608,America/Sao_Paulo,19/08/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6322720,Cândido de Abreu,Candido De Abreu,-2.467.055,-5.125.748,A,ADM2,BR,,18,4104402.0,,,16662,,837,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6322721,Candói,Candoi,-2.551.315,-5.202.243,A,ADM2,BR,,18,4104428.0,,,16053,,854,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6322722,Cantagalo,Cantagalo,-252.953,-5.215.269,A,ADM2,BR,,18,4104451.0,,,13329,,784,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6322723,Capanema,Capanema,-2.561.839,-5.379.262,A,ADM2,BR,,18,4104501.0,,,19148,,252,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6322724,Capitão Leônidas Marques,Capitao Leonidas Marques,-2.547.998,-5.358.797,A,ADM2,BR,,18,4104600.0,,,14936,,403,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6322725,Carambeí,Carambei,-2.490.917,-5.012.717,A,ADM2,BR,,18,4104659.0,,,23825,,1051,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6322726,Carlópolis,Carlopolis,-2.344.971,-4.970.142,A,ADM2,BR,,18,4104709.0,,,14356,,552,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6322727,Cascavel,Cascavel,-2.505.252,-5.338.807,A,ADM2,BR,,18,4104808.0,,,332333,,615,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6322728,Castro,Castro,-248.304,-4.985.535,A,ADM2,BR,,18,4104907.0,,,71809,,1040,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6322729,Catanduvas,Catanduvas,-2.526.047,-5.317.016,A,ADM2,BR,,18,4105003.0,,,10167,,599,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6322730,Centenário do Sul,Centenario Do Sul,-2.280.933,-5.154.586,A,ADM2,BR,,18,4105102.0,,,11178,,457,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6322731,Cerro Azul,Cerro Azul,-2.485.878,-4.929.561,A,ADM2,BR,,18,4105201.0,,,16948,,493,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,6322732,Céu Azul,Ceu Azul,-2.529.831,-5.374.848,A,ADM2,BR,,18,4105300.0,,,11032,,386,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6322733,Chopinzinho,Chopinzinho,-2.581.428,-5.245.682,A,ADM2,BR,,18,4105409.0,,,19167,,644,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6322734,Cianorte,Cianorte,-2.369.998,-5.259.033,A,ADM2,BR,,18,4105508.0,,,83816,,490,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,6322735,Cidade Gaúcha,Cidade Gaucha,-2.336.535,-5.297.466,A,ADM2,BR,,18,4105607.0,,,11067,,425,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6322736,Clevelândia,Clevelandia,-2.630.528,-52.368,A,ADM2,BR,,18,4105706.0,,,16450,,927,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6322737,Colombo,Colombo,-2.530.126,-4.916.965,A,ADM2,BR,,18,4105805.0,,,246540,,1001,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6322738,Colorado,Colorado,-2.283.827,-5.198.015,A,ADM2,BR,,18,4105904.0,,,24145,,451,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,6322739,Congonhinhas,Congonhinhas,-2.362.943,-5.049.858,A,ADM2,BR,,18,4106001.0,,,8857,,619,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,6322740,Conselheiro Mairinck,Conselheiro Mairinck,-2.358.771,-5.011.629,A,ADM2,BR,,18,4106100.0,,,3627,,521,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6322741,Contenda,Contenda,-2.571.409,-4.950.798,A,ADM2,BR,,18,4106209.0,,,18837,,947,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6322742,Corbélia,Corbelia,-2.472.684,-5.323.327,A,ADM2,BR,,18,4106308.0,,,17117,,583,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,6322743,Cornélio Procópio,Cornelio Procopio,-2.323.704,-5.061.888,A,ADM2,BR,,18,4106407.0,,,46925,,655,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,6322744,Coronel Domingos Soares,Coronel Domingos Soares,-261.829,-5.197.777,A,ADM2,BR,,18,4106456.0,,,7238,,1027,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,6322745,Coronel Vivida,Coronel Vivida,-2.600.108,-5.259.599,A,ADM2,BR,,18,4106506.0,,,21737,,724,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,6322746,Corumbataí do Sul,Corumbatai Do Sul,-2.412.007,-5.214.622,A,ADM2,BR,,18,4106555.0,,,4003,,592,America/Sao_Paulo,19/08/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,6322747,Cruzeiro do Iguaçu,Cruzeiro Do Iguacu,-2.560.303,-5.312.736,A,ADM2,BR,,18,4106571.0,,,4274,,453,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,6322748,Cruzeiro do Oeste,Cruzeiro Do Oeste,-2.380.968,-5.308.429,A,ADM2,BR,,18,4106605.0,,,20419,,416,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6322749,Cruzeiro do Sul,Cruzeiro Do Sul,-2.297.418,-5.215.969,A,ADM2,BR,,18,4106704.0,,,4563,,465,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6322750,Cruz Machado,Cruz Machado,-2.591.086,-5.122.563,A,ADM2,BR,,18,4106803.0,,,18043,,1001,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,6322751,Cruzmaltina,Cruzmaltina,-2.402.357,-5.148.481,A,ADM2,BR,,18,4106852.0,,,2921,,576,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,6322752,Curitiba,Curitiba,-2.550.395,-4.929.082,A,ADM2,BR,,18,4106902.0,,,1746896,,917,America/Sao_Paulo,21/07/2014,Curitiba,Gorad Kuryciba,Kouritiba,Kouritimpa,Kuri'ytyva,Kuri'ytýva,Kuritiba,Kuritibae,Kuritibo,Kuritiwa,Kuri?iba,Kuryciba,Kurytyba,Kùrìtíbà,ku li qi ba,ku ri ti ba,kulichiba,kurichiba,kuritcibas,kuritiba,kwrytyba,qwrytybh,??????????,????? ????????,?????????,???????æ,????????,????????,?????????,????????,????????,????????,????????,????????,????????,????????,????????,????????,???????,????????,????????,????,????,????,????,????,????,????????????????,,,,,,,,,,,,,,,,,,,,,,,,,,
43,6322753,Curiúva,Curiuva,-2.400.386,-5.046.541,A,ADM2,BR,,18,4107009.0,,,15196,,866,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,6322754,Diamante do Norte,Diamante Do Norte,-2.263.752,-528.728,A,ADM2,BR,,18,4107108.0,,,5524,,371,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,6322755,Diamante do Sul,Diamante Do Sul,-249.868,-5.270.134,A,ADM2,BR,,18,4107124.0,,,3510,,545,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,6322756,Diamante d'Oeste,Diamante D'Oeste,-2.494.559,-5.410.349,A,ADM2,BR,,18,4107157.0,,,5027,,515,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,6322757,Dois Vizinhos,Dois Vizinhos,-2.574.577,-5.309.132,A,ADM2,BR,,18,4107207.0,,,41038,,532,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,6322758,Douradina,Douradina,-233.404,-5.327.489,A,ADM2,BR,,18,4107256.0,,,8869,,331,America/Sao_Paulo,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,6322759,Doutor Camargo,Doutor Camargo,-2.356.158,-5.222.341,A,ADM2,BR,,18,4107306.0,,,5829,,395,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,6322760,Enéas Marques,Eneas Marques,-2.586.454,-5.315.902,A,ADM2,BR,,18,4107405.0,,,6101,,609,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,6322761,Engenheiro Beltrão,Engenheiro Beltrao,-2.375.543,-5.220.893,A,ADM2,BR,,18,4107504.0,,,13920,,394,America/Sao_Paulo,19/08/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,6322762,Esperança Nova,Esperanca Nova,-2.371.008,-5.379.362,A,ADM2,BR,,18,4107520.0,,,1970,,337,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,6322763,Entre Rios do Oeste,Entre Rios Do Oeste,-2.470.408,-5.421.562,A,ADM2,BR,,18,4107538.0,,,3922,,279,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,6322764,Espigão Alto do Iguaçu,Espigao Alto Do Iguacu,-2.535.011,-5.277.923,A,ADM2,BR,,18,4107546.0,,,4677,,634,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,6322765,Farol,Farol,-2.410.348,-5.266.314,A,ADM2,BR,,18,4107553.0,,,3041,,547,America/Sao_Paulo,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,6322766,Faxinal,Faxinal,-2.402.657,-5.130.121,A,ADM2,BR,,18,4107603.0,,,17316,,576,America/Sao_Paulo,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,6322767,Fazenda Rio Grande,Fazenda Rio Grande,-2.566.466,-4.930.426,A,ADM2,BR,,18,4107652.0,,,81687,,908,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,6322768,Fênix,Fenix,-2.390.551,-5.203.998,A,ADM2,BR,,18,4107702.0,,,4748,,316,America/Sao_Paulo,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,6322769,Fernandes Pinheiro,Fernandes Pinheiro,-2.544.403,-5.051.811,A,ADM2,BR,,18,4107736.0,,,5602,,809,America/Sao_Paulo,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,6322770,Figueira,Figueira,-2.386.125,-5.042.076,A,ADM2,BR,,18,4107751.0,,,8254,,583,America/Sao_Paulo,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,6322771,Floraí,Florai,-233.283,-5.232.422,A,ADM2,BR,,18,4107801.0,,,4906,,463,America/Sao_Paulo,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,6322772,Flor da Serra do Sul,Flor Da Serra Do Sul,-2.623.081,-5.330.368,A,ADM2,BR,,18,4107850.0,,,4725,,745,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6322773,Floresta,Floresta,-2.363.014,-520.763,A,ADM2,BR,,18,4107900.0,,,6851,,368,America/Sao_Paulo,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6322774,Florestópolis,Florestopolis,-2.290.122,-5.137.632,A,ADM2,BR,,18,4108007.0,,,10453,,427,America/Sao_Paulo,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6322775,Flórida,Florida,-2.311.265,-5.197.861,A,ADM2,BR,,18,4108106.0,,,2699,,410,America/Sao_Paulo,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,6322776,Formosa do Oeste,Formosa Do Oeste,-2.430.836,-5.332.776,A,ADM2,BR,,18,4108205.0,,,7543,,335,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,6322777,Foz do Iguaçu,Foz do Iguacu,-2.545.309,-5.455.235,A,ADM2,BR,,18,4108304.0,,,256081,,247,America/Sao_Paulo,23/06/2016,Foz de Iguazu,Foz de Iguazú,Foz do Iguacu,Foz do Iguaçu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,6322778,Francisco Alves,Francisco Alves,-240.651,-5.388.444,A,ADM2,BR,,18,4108320.0,,,6424,,319,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,6322779,Francisco Beltrão,Francisco Beltrao,-2.606.439,-5.312.544,A,ADM2,BR,,18,4108403.0,,,78957,,740,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,6322780,Foz do Jordão,Foz Do Jordao,-2.569.523,-5.206.075,A,ADM2,BR,,18,4108452.0,,,5414,,800,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,6322781,General Carneiro,General Carneiro,-2.643.749,-5.140.075,A,ADM2,BR,,18,4108502.0,,,13667,,1167,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6322782,Godoy Moreira,Godoy Moreira,-2.414.813,-5.191.555,A,ADM2,BR,,18,4108551.0,,,2898,,368,America/Sao_Paulo,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,6322783,Goioerê,Goioere,-2.418.868,-5.309.916,A,ADM2,BR,,18,4108601.0,,,28808,,468,America/Sao_Paulo,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,6322784,Goioxim,Goioxim,-2.509.533,-5.200.812,A,ADM2,BR,,18,4108650.0,,,7053,,881,America/Sao_Paulo,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,6322785,Grandes Rios,Grandes Rios,-2.418.645,-514.346,A,ADM2,BR,,18,4108700.0,,,6625,,667,America/Sao_Paulo,21/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,6322786,Guaíra,Guaira,-2.426.175,-5.423.821,A,ADM2,BR,,18,4108809.0,,,30669,,280,America/Sao_Paulo,31/12/2019,Guaira,Guaíra,QGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,6322787,Guairaçá,Guairaca,-2.290.548,-5.274.878,A,ADM2,BR,,18,4108908.0,,,6609,,453,America/Sao_Paulo,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,6322788,Guamiranga,Guamiranga,-2.515.028,-5.086.182,A,ADM2,BR,,18,4108957.0,,,8811,,833,America/Sao_Paulo,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,6322789,Guapirama,Guapirama,-234.684,-5.009.128,A,ADM2,BR,,18,4109005.0,,,3784,,497,America/Sao_Paulo,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
