,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27
0,7693537,Arroio Passo do Amâncio,Arroio Passo do Amancio,-2.584.934,-492.156,H,STM,BR,,18.0,,,,0,,888,America/Sao_Paulo,21/01/2012,Arroio Passo do Amancio,Arroio Passo do Amâncio,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7693538,Cerâmica Palermo,Ceramica Palermo,-258.567,-492.164,S,MFG,BR,,18.0,4114302.0,,,0,,899,America/Sao_Paulo,03/08/2012,Ceramica Palermo,Cerâmica Palermo,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7693539,Palmeira,Palmeira,-258.619,-4.921.899,L,LCTY,BR,,18.0,,,,0,,908,America/Sao_Paulo,21/01/2012,Palmeira,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7693540,Tapera,Tapera,-2.587.373,-4.923.028,L,LCTY,BR,,18.0,,,,0,,939,America/Sao_Paulo,21/01/2012,Tapera,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7693724,Mato-Dentro,Mato-Dentro,-257.503,-4.948.184,L,LCTY,BR,,18.0,,,,0,,884,America/Sao_Paulo,21/01/2012,Mato-Dentro,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7693725,Sítio Albino Taioka,Sitio Albino Taioka,-257.591,-494.953,P,PPL,BR,,18.0,4106209.0,,,0,,885,America/Sao_Paulo,03/08/2012,Sitio Albino Taioka,Sítio Albino Taioka,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7693726,Sítio Jorge Strugal,Sitio Jorge Strugal,-257.566,-49.485,P,PPL,BR,,18.0,4106209.0,,,0,,876,America/Sao_Paulo,03/08/2012,Sitio Jorge Strugal,Sítio Jorge Strugal,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7693727,Sítio José Casanosch,Sitio Jose Casanosch,-2.575.942,-4.948.549,P,PPL,BR,,18.0,4106209.0,,,0,,883,America/Sao_Paulo,03/08/2012,Sitio Jose Casanosch,Sítio José Casanosch,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7693728,Arroio Passo da Varginha,Arroio Passo da Varginha,-258.831,-4.923.991,H,STM,BR,,18.0,,,,0,,888,America/Sao_Paulo,21/01/2012,Arroio Passo da Varginha,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7693729,Aracatuba,Aracatuba,-2.589.161,-4.924.503,L,LCTY,BR,,18.0,,,,0,,890,America/Sao_Paulo,21/01/2012,Aracatuba,,,,,,,,,,,,,,,,,,,,,,,,,,,
