,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30
0,8603740,Vila Ecológica,Vila Ecologica,-2.001.208,-4.401.928,P,PPLX,BR,,15.0,3106200.0,,,0,,981,America/Sao_Paulo,22/06/2016,Vila Ecologica,Vila Ecológica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8603741,Vila Formosa,Vila Formosa,-1.999.976,-4.403.105,P,PPLX,BR,,15.0,3106200.0,,,0,,1000,America/Sao_Paulo,22/06/2016,Vila Formosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8603742,Vila Independência I,Vila Independencia I,-2.001.695,-4.402.639,P,PPLX,BR,,15.0,3106200.0,,,0,,1008,America/Sao_Paulo,22/06/2016,Vila Independencia I,Vila Independência I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8603743,Vila Mangueiras,Vila Mangueiras,-2.001.567,-4.403.796,P,PPLX,BR,,15.0,3106200.0,,,0,,1025,America/Sao_Paulo,22/06/2016,Vila Mangueiras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8603744,São João,Sao Joao,-1.999.629,-4.397.278,P,PPLX,BR,,15.0,3106200.0,,,0,,1139,America/Sao_Paulo,22/06/2016,Sao Joao,São João,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8603745,Vila Piratininga,Vila Piratininga,-1.998.813,-440.511,P,PPLX,BR,,15.0,3106200.0,,,0,,948,America/Sao_Paulo,22/06/2016,Vila Piratininga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8603746,Vila Átila de Paiva,Vila Atila de Paiva,-1.997.922,-4.403.148,P,PPLX,BR,,15.0,3106200.0,,,0,,932,America/Sao_Paulo,22/06/2016,Vila Atila de Paiva,Vila Átila de Paiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8603747,Vila Nova dos Milionários,Vila Nova dos Milionarios,-1.998.227,-4.400.053,P,PPLX,BR,,15.0,3106200.0,,,0,,1000,America/Sao_Paulo,22/06/2016,Vila Nova dos Milionarios,Vila Nova dos Milionários,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8603748,Vila Cemig,Vila Cemig,-1.999.528,-4.399.253,P,PPLX,BR,,15.0,3106200.0,,,0,,1037,America/Sao_Paulo,22/06/2016,Vila Cemig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8603749,Alto das Antenas,Alto das Antenas,-1.999.683,-4.398.868,P,PPLX,BR,,15.0,3106200.0,,,0,,1022,America/Sao_Paulo,22/06/2016,Alto das Antenas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8603750,Bernadete,Bernadete,-1.998.512,-4.398.387,P,PPLX,BR,,15.0,3106200.0,,,0,,975,America/Sao_Paulo,22/06/2016,Bernadete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,8603751,Vila Pinho,Vila Pinho,-2.000.086,-4.402.381,P,PPLX,BR,,15.0,3106200.0,,,0,,957,America/Sao_Paulo,22/06/2016,Vila Pinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8603752,Vila Copasa,Vila Copasa,-1.998.136,-4.400.628,P,PPLX,BR,,15.0,3106200.0,,,0,,971,America/Sao_Paulo,22/06/2016,Vila Copasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8603753,Vila Batik,Vila Batik,-2.000.055,-440.415,P,PPLX,BR,,15.0,3106200.0,,,0,,993,America/Sao_Paulo,22/06/2016,Vila Batik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8603754,Marieta II,Marieta II,-1.999.134,-440.373,P,PPLX,BR,,15.0,3106200.0,,,0,,970,America/Sao_Paulo,22/06/2016,Marieta II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,8603755,Marieta I,Marieta I,-1.999.178,-4.403.445,P,PPLX,BR,,15.0,3106200.0,,,0,,941,America/Sao_Paulo,22/06/2016,Marieta I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,8603756,Vila Independência II,Vila Independencia II,-2.001.697,-4.402.098,P,PPLX,BR,,15.0,3106200.0,,,0,,1025,America/Sao_Paulo,22/06/2016,Vila Independencia II,Vila Independência II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8603757,Vila Pilar,Vila Pilar,-19.998,-439.641,P,PPLX,BR,,15.0,3106200.0,,,0,,1144,America/Sao_Paulo,22/06/2016,Vila Pilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,8603758,Vitoria da Conquista,Vitoria da Conquista,-2.001.458,-4.402.366,P,PPLX,BR,,15.0,3106200.0,,,0,,1017,America/Sao_Paulo,22/06/2016,Vitoria da Conquista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,8603759,Vila Primeiro de Maio,Vila Primeiro de Maio,-1.986.116,-4.393.189,P,PPLX,BR,,15.0,3106200.0,,,0,,789,America/Sao_Paulo,14/08/2020,Primeiro de Maio,Vila Primeiro de Maio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,8603760,São Tomáz,Sao Tomaz,-198.456,-439.527,P,PPLX,BR,,15.0,3106200.0,,,0,,788,America/Sao_Paulo,22/06/2016,Sao Tomaz,São Tomáz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8603761,Vila Nova,Vila Nova,-1.980.266,-4.394.655,P,PPLX,BR,,15.0,3106200.0,,,0,,796,America/Sao_Paulo,22/06/2016,Vila Nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,8603762,Biquinhas,Biquinhas,-1.984.308,-4.394.365,P,PPLX,BR,,15.0,3106200.0,,,0,,790,America/Sao_Paulo,22/06/2016,Biquinhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,8603763,Boa União II,Boa Uniao II,-1.985.925,-4.392.543,P,PPLX,BR,,15.0,3106200.0,,,0,,803,America/Sao_Paulo,22/06/2016,Boa Uniao II,Boa União II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,8603764,Zilah Spósito,Zilah Sposito,-1.980.131,-4.392.465,P,PPLX,BR,,15.0,3106200.0,,,0,,780,America/Sao_Paulo,22/06/2016,Zilah Sposito,Zilah Spósito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,8603765,Novo Lajedo,Novo Lajedo,-1.983.049,-4.390.724,P,PPLX,BR,,15.0,3106200.0,,,0,,745,America/Sao_Paulo,22/06/2016,Novo Lajedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,8603766,Unidas,Unidas,-1.983.764,-4.398.111,P,PPLX,BR,,15.0,3106200.0,,,0,,786,America/Sao_Paulo,22/06/2016,Unidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,8603767,Universo,Universo,-1.983.316,-4.397.998,P,PPLX,BR,,15.0,3106200.0,,,0,,776,America/Sao_Paulo,22/06/2016,Universo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,8603768,Apolônia,Apolonia,-1.982.731,-4.399.065,P,PPLX,BR,,15.0,3106200.0,,,0,,819,America/Sao_Paulo,22/06/2016,Apolonia,Apolônia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,8603769,Vila Santa Mônica,Vila Santa Monica,-1.981.896,-4.399.259,P,PPLX,BR,,15.0,3106200.0,,,0,,828,America/Sao_Paulo,22/06/2016,Vila Santa Monica,Vila Santa Mônica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,8603770,Conjunto Minascaixa,Conjunto Minascaixa,-1.980.299,-4.396.066,P,PPLX,BR,,15.0,3106200.0,,,0,,846,America/Sao_Paulo,22/06/2016,Conjunto Minascaixa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,8603771,Vila São João Batista,Vila Sao Joao Batista,-1.982.253,-439.628,P,PPLX,BR,,15.0,3106200.0,,,0,,764,America/Sao_Paulo,22/06/2016,Vila Sao Joao Batista,Vila São João Batista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8603772,Nossa Senhora Aparecida,Nossa Senhora Aparecida,-1.982.391,-4.396.788,P,PPLX,BR,,15.0,3106200.0,,,0,,780,America/Sao_Paulo,22/06/2016,Nossa Senhora Aparecida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,8603773,Vila dos Anjos,Vila dos Anjos,-1.982.049,-4.399.497,P,PPLX,BR,,15.0,3106200.0,,,0,,850,America/Sao_Paulo,22/06/2016,Vila dos Anjos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,8603774,Vila Copacabana,Vila Copacabana,-1.983.821,-4.398.561,P,PPLX,BR,,15.0,3106200.0,,,0,,802,America/Sao_Paulo,22/06/2016,Vila Copacabana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,8603775,Vila Sesc,Vila Sesc,-1.980.242,-439.754,P,PPLX,BR,,15.0,3106200.0,,,0,,769,America/Sao_Paulo,22/06/2016,Vila Sesc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,8603776,Vila Canto do Sabiá,Vila Canto do Sabia,-1.982.461,-4.395.759,P,PPLX,BR,,15.0,3106200.0,,,0,,763,America/Sao_Paulo,22/06/2016,Vila Canto do Sabia,Vila Canto do Sabiá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,8603777,Vila Mantiqueira,Vila Mantiqueira,-1.978.838,-4.397.915,P,PPLX,BR,,15.0,3106200.0,,,0,,793,America/Sao_Paulo,22/06/2016,Vila Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,8603778,Vila Jardim Leblon,Vila Jardim Leblon,-198.221,-4.399.052,P,PPLX,BR,,15.0,3106200.0,,,0,,813,America/Sao_Paulo,14/08/2020,Jardim Leblon,Vila Jardim Leblon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,8603779,Flamengo,Flamengo,-198.052,-4.399.066,P,PPLX,BR,,15.0,3106200.0,,,0,,786,America/Sao_Paulo,22/06/2016,Flamengo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,8603780,Vila Piratininga Venda Nova,Vila Piratininga Venda Nova,-1.981.065,-4.399.343,P,PPLX,BR,,15.0,3106200.0,,,0,,801,America/Sao_Paulo,22/06/2016,Vila Piratininga Venda Nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,8603781,Vila Morro Alto,Vila Morro Alto,-1.977.773,-4.395.034,P,PPLX,BR,,15.0,3106200.0,,,0,,839,America/Sao_Paulo,22/06/2016,Vila Morro Alto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
