geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
7693537,Arroio Passo do Amâncio,Arroio Passo do Amancio,Arroio Passo do Amancio$Arroio Passo do Amâncio,-2.584.934,-492.156,H,STM,BR,,18,,,,0,,888,America/Sao_Paulo,21/01/2012
7693538,Cerâmica Palermo,Ceramica Palermo,Ceramica Palermo$Cerâmica Palermo,-258.567,-492.164,S,MFG,BR,,18,4114302,,,0,,899,America/Sao_Paulo,03/08/2012
7693539,Palmeira,Palmeira,Palmeira,-258.619,-4.921.899,L,LCTY,BR,,18,,,,0,,908,America/Sao_Paulo,21/01/2012
7693540,Tapera,Tapera,Tapera,-2.587.373,-4.923.028,L,LCTY,BR,,18,,,,0,,939,America/Sao_Paulo,21/01/2012
7693724,Mato-Dentro,Mato-Dentro,Mato-Dentro,-257.503,-4.948.184,L,LCTY,BR,,18,,,,0,,884,America/Sao_Paulo,21/01/2012
7693725,Sítio Albino Taioka,Sitio Albino Taioka,Sitio Albino Taioka$Sítio Albino Taioka,-257.591,-494.953,P,PPL,BR,,18,4106209,,,0,,885,America/Sao_Paulo,03/08/2012
7693726,Sítio Jorge Strugal,Sitio Jorge Strugal,Sitio Jorge Strugal$Sítio Jorge Strugal,-257.566,-49.485,P,PPL,BR,,18,4106209,,,0,,876,America/Sao_Paulo,03/08/2012
7693727,Sítio José Casanosch,Sitio Jose Casanosch,Sitio Jose Casanosch$Sítio José Casanosch,-2.575.942,-4.948.549,P,PPL,BR,,18,4106209,,,0,,883,America/Sao_Paulo,03/08/2012
7693728,Arroio Passo da Varginha,Arroio Passo da Varginha,Arroio Passo da Varginha,-258.831,-4.923.991,H,STM,BR,,18,,,,0,,888,America/Sao_Paulo,21/01/2012
7693729,Aracatuba,Aracatuba,Aracatuba,-2.589.161,-4.924.503,L,LCTY,BR,,18,,,,0,,890,America/Sao_Paulo,21/01/2012
7693730,Birituba,Birituba,Birituba,-258.886,-492.288,L,LCTY,BR,,18,,,,0,,929,America/Sao_Paulo,21/01/2012
7693731,Saltinho,Saltinho,Saltinho,-2.590.899,-4.924.891,L,LCTY,BR,,18,,,,0,,896,America/Sao_Paulo,21/01/2012
7693732,Lagoa Grande,Lagoa Grande,Lagoa Grande,-2.591.177,-4.923.103,L,LCTY,BR,,18,,,,0,,923,America/Sao_Paulo,21/01/2012
7693733,Gama,Gama,Gama,-2.592.825,-4.922.505,L,LCTY,BR,,18,,,,0,,917,America/Sao_Paulo,21/01/2012
7693734,Campinas,Campinas,Campinas,-2.592.864,-4.924.648,L,LCTY,BR,,18,,,,0,,889,America/Sao_Paulo,21/01/2012
7693735,Lagoa,Lagoa,Lagoa,-2.594.578,-4.922.828,P,PPLL,BR,,18,4127601,,,0,,921,America/Sao_Paulo,03/08/2012
7693736,Instituição Erdelvyi,Instituicao Erdelvyi,Instituicao Erdelvyi$Instituição Erdelvyi,-259.544,-492.262,S,BLDG,BR,,18,4127601,,,0,,915,America/Sao_Paulo,03/08/2012
7693737,São João,Sao Joao,Sao Joao$São João,-2.598.712,-4.924.202,L,LCTY,BR,,18,,,,0,,902,America/Sao_Paulo,21/01/2012
7693738,Cangoera,Cangoera,Cangoera,-2.599.729,-4.915.827,L,LCTY,BR,,18,,,,0,,856,America/Sao_Paulo,21/01/2012
7693739,Escola Tiradentes,Escola Tiradentes,Escola Tiradentes,-259.998,-491.583,S,SCH,BR,,18,4127601,,,0,,842,America/Sao_Paulo,03/08/2012
7693740,Barreiro,Barreiro,Barreiro,-2.598.416,-4.915.896,L,LCTY,BR,,18,,,,0,,882,America/Sao_Paulo,21/01/2012
7693741,Ribeirão Barreiro,Ribeirao Barreiro,Ribeirao Barreiro$Ribeirão Barreiro,-2.598.194,-4.917.803,H,STM,BR,,18,,,,0,,827,America/Sao_Paulo,21/01/2012
7693742,Salto da Boa Vista,Salto da Boa Vista,Salto da Boa Vista,-2.597.603,-4.918.153,L,LCTY,BR,,18,,,,0,,848,America/Sao_Paulo,21/01/2012
7693743,Campestre,Campestre,Campestre,-2.598.168,-4.918.987,L,LCTY,BR,,18,,,,0,,831,America/Sao_Paulo,21/01/2012
7693744,Arroio Passo do Júlio,Arroio Passo do Julio,Arroio Passo do Julio$Arroio Passo do Júlio,-2.598.954,-4.919.449,H,STM,BR,,18,,,,0,,820,America/Sao_Paulo,21/01/2012
7693745,Arroio da Onça,Arroio da Onca,Arroio da Onca$Arroio da Onça,-2.596.277,-4.915.875,H,STM,BR,,18,,,,0,,866,America/Sao_Paulo,21/01/2012
7693746,Onça,Onca,Onca$Onça,-2.594.918,-4.913.345,L,LCTY,BR,,18,,,,0,,931,America/Sao_Paulo,21/01/2012
7693747,Arroio Passo do Largo,Arroio Passo do Largo,Arroio Passo do Largo,-2.589.406,-4.914.793,H,STM,BR,,18,,,,0,,916,America/Sao_Paulo,21/01/2012
7693748,Arroio das Doenças,Arroio das Doencas,Arroio das Doencas$Arroio das Doenças,-2.596.111,-4.915.892,H,STM,BR,,18,,,,0,,861,America/Sao_Paulo,21/01/2012
7693749,Ribeirão do Meio,Ribeirao do Meio,Ribeirao do Meio$Ribeirão do Meio,-259.468,-4.915.022,L,LCTY,BR,,18,,,,0,,930,America/Sao_Paulo,21/01/2012
7693750,Mata-Burro,Mata-Burro,Mata-Burro,-259.388,-491.783,L,LCTY,BR,,18,,,,0,,880,America/Sao_Paulo,21/01/2012
7693751,Rio da Palha,Rio da Palha,Rio da Palha,-2.586.966,-4.920.855,H,STM,BR,,18,,,,0,,890,America/Sao_Paulo,21/01/2012
7693752,Ginásio de Esportes Boca Júnior,Ginasio de Esportes Boca Junior,Ginasio de Esportes Boca Junior$Ginásio de Esportes Boca Júnior,-259.211,-491.834,S,SCH,BR,,18,4127601,,,0,,906,America/Sao_Paulo,03/08/2012
