Unnamed: 0,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
10008,3394823,Urca do Minhoto,Urca do Minhoto,-4.87726,-36.23912,H,RF,BR,,22.0,,,,0,,-9999,,2017-12-27,Recife Minhoto,Recifes Urca do Minhoto,Urca do Minhoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10085,3394900,Ponta da Mexiana,Ponta da Mexiana,0.03333,-49.35,T,PT,BR,,16.0,,,,0,,-9999,America/Belem,2012-01-19,Ponta Frechas,Ponta da Mexiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108,3394923,Banco do Mergulho,Banco do Mergulho,-2.6,-41.36667,H,SHOL,BR,,20.0,,,,0,,-9999,America/Fortaleza,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10181,3394996,Ponta do Mel,Ponta do Mel,-4.95056,-36.87917,T,PT,BR,,22.0,,,,0,,1,America/Noronha,2018-12-05,Ponta do Mel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10187,3395002,Rio Meirim,Rio Meirim,-9.54883,-35.61601,H,STM,BR,,2.0,,,,0,,-9999,America/Maceio,2021-08-31,Meirim River,Riacho Antonio Mirim,Rio Meirim,Rio Santo Antonio Mirim,Rio Santo Antônio Mirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204,3395019,Ilha do Meio,Ilha do Meio,-3.81964,-32.39323,T,ISL,BR,,30.0,,,,0,,26,America/Noronha,2016-06-12,Boobies Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10221,3395036,Morro do Medeira,Morro do Medeira,-3.86481,-32.41971,T,HLL,BR,,30.0,2605459.0,,,0,,42,America/Noronha,2016-06-12,Morro do Madeira,Morro do Medeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10240,3395055,Maxaranguape,Maxaranguape,-5.51722,-35.25639,P,PPL,BR,,22.0,2407500.0,,,0,,5,America/Fortaleza,2012-08-03,Barra do Maxaranguape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10273,3395088,Ponta de Mato Grosso,Ponta de Mato Grosso,-7.46667,-34.8,T,PT,BR,,17.0,,,,0,,-9999,America/Noronha,2018-12-05,Ponta de Mato Grosso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10352,3395167,Riacho Mata Fresca,Riacho Mata Fresca,-4.8,-37.26667,H,STM,BR,,6.0,,,,0,,1,America/Fortaleza,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10435,3395250,Ponta do Maruim,Ponta do Maruim,1.25,-49.86667,T,PT,BR,,3.0,,,,0,,-9999,America/Belem,2018-12-05,Ponta do Maruim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
